	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Archaea;p__Methanobacteriota;c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia	3	69	3	84	1	3	6	51	2	21	87115	6673	5724	7	52344	347	75	5	8	1462	4	1634	14	4	27	161	2	10	4331	33	103	254	248	1566	11274	1679	486	30520	162	214	1124	1160	193	11	140	481	10	17305	6961	161	4	20	1156	156444	56	23	313	313	43281	879	17823	315	16	19129	24	3001	33	338	6	887
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia	48686	9443	17828	27811	28881	38646	230481	78345	46273	23616	64443	0	36726	22543	65650	209379	82002	84894	103749	47204	34877	34445	196273	126120	80042	60062	51830	65423	62719	118747	264	423	6536	37171	11769	0	97	6131	153820	125010	235	3367	141587	364	2	2854	82490	2666	41598	231471	26532	147292	29838	0	94561	113817	180396	175201	170927	306260	40037	18026	581	40014	88615	99	148222	169244	90	35527
k__Bacteria;p__Actinobacteriota;c__Other	0	0	2	0	0	0	64	0	6	11	62	0	5	0	27	4	29	2	3	3	0	5	25	2	0	19	6	0	4	1	0	2	0	2	1	0	0	3	1	0	0	1	0	0	0	0	6	1	1	5	0	16	7	6	5	14	20	12	84	23	36	0	0	1	0	0	1	26	0	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia	194427	1282	378628	365487	221279	265010	204740	205668	289040	314524	20127	3528	102675	664	27358	11660	1384	153545	120837	302195	135010	402786	17929	117810	69568	79703	45304	3794	117245	14379	4445	467608	165764	320714	227	184	102	83	667	1073	366	86	496	3377	19	3619	7507	366	205631	62657	130538	23898	162167	6097	145064	36534	20086	32178	15643	59936	183384	9114	1150	265998	414776	4163	51553	112629	346323	31558
k__Bacteria;p__Campylobacterota;c__Campylobacteria	206	30880	2654	2384	5438	418	2309	3172	1235	2	1	1	3	4	0	7	5	99	0	15379	994	146	121	7489	126	2	3	2	0	17	6278	0	10	2118	0	0	1	0	0	1	0	0	4	0	0	2	6	0	0	257	0	6940	5493	0	2	2	0	837	788	0	260	0	1072	283	1	16520	4831	1	2459	14
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33543
k__Bacteria;p__Firmicutes;c__Bacilli	14456	30061	36031	18260	3588	10209	4311	20883	13380	10981	20419	204791	33178	23106	266625	38884	67590	16044	13321	20007	15685	4231	72788	38924	24131	7302	35698	59513	40234	21447	9345	7250	81205	120116	599463	624199	6478	591593	145663	8109	327227	593394	3753	11901	49343	74896	3917	6479	42805	27466	4346	11947	63113	241123	17874	48449	46349	54301	46061	126858	44903	28109	50592	33259	2263	95549	19017	3024	14970	180741
k__Bacteria;p__Firmicutes;c__Other	0	5	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	2	5	0	0	0	0	1	0	0	0	0	2	0	3	0	1	0	0	0	0	1	0	8	1	1	0	1	0	0	0	0	1	2	0	1	0	7	0	1	2	0	0	21	0	0	1	0
