	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0	3	0	0	0	2	1	5	0	0	0	3	0	2	1	160	2	0	0	0	3	0	4	0	1	3	0	3	7	0	15	0	14	0	2	798	382	0	66	120	405	6	64	2	61	5	1	254	1	146	2	0	1	60	2	1	156	3	2	204	2	283	1	1	1	2415	1	79	1	4
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	3	4	3	1	0	0	1	4	1	12	87037	6669	5722	3	52333	5	67	0	7	1459	0	1631	2	3	0	24	1	0	4321	2	0	24	211	1526	11160	0	0	30515	2	3	13	0	1	0	0	4	6	17006	6956	12	2	10	1122	156365	42	16	11	205	43168	406	17816	6	4	19003	2	8	17	0	4	880
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae	0	0	0	45	0	0	0	39	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	124	20	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae	0	0	0	0	0	1	1	1	0	3	0	0	0	1	0	2	0	2	0	1	0	1	0	0	2	0	0	0	0	0	20	1	1	0	88	554	5	0	44	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	7	0	1	1	2	5	0	0	0	0	0	12	3	5	1	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	5	0	0	2	0	1	0	1	0	2	0	2	0	1	0	1	0	1	15	2	0	0	0	0	0	4	5	3	0	0	1	3	0	0	0	10	0	0	0	0	188	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Other	0	1	0	2	0	0	1	1	0	0	2	1	1	1	2	5	6	0	0	1	1	0	1	1	1	0	0	1	1	0	5	0	0	0	1	15	2	1	1	1	2	0	1	0	3	1	0	1	0	1	0	0	2	10	0	0	5	0	3	1	4	0	0	1	1	7	0	4	0	1
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	6	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	0	36	0	33	0	0	0	1	1	1	72	0	0	0	0	147	0	0	1	0	0	1	1	0	3	133	0	0	2	31	15	229	3	1	5	12	90	0	38	74	660	1144	126	5	74	455	1	6	0	0	0	4	0	1	2	3	109	101	101	240	1	26	1	0	0	535	5	1	0	1
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Other;f__Other	0	1	0	3	1	0	2	0	0	0	4	0	1	0	7	2	0	1	0	0	0	0	1	0	2	1	0	0	0	0	20	0	9	0	7	37	5	4	3	2	1	9	0	3	1	1	0	1	2	0	0	0	0	3	0	0	2	1	2	4	0	0	0	0	0	6	3	60	0	1
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	2	0	1	0	0	0	18	0	2	0	6	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	41	0	0	0	0	0	0	37	0	2	0	0	0	0	0	3	29	0	0	16	0	0	0	0	0	14	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	53	0	0	0	0	0	0	0	0	3	276	0	3	0	95	0	104	64	188	0	0	1	58	12	30	261	3	3	6	0	0	0	0	0	2	0	0	4	11	7	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	34	25	520	345	28	0	0	10	23	0	49	141	0	3
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	48157	9431	17430	27799	28653	38635	229246	78329	46259	22407	60550	0	33281	22520	62807	207060	73407	83465	103358	45682	34865	29818	195714	119692	78987	59500	51341	64629	54299	118680	264	349	6533	36872	11740	0	97	6112	153776	124896	235	3364	141563	364	2	2853	82467	1033	40894	223113	26526	145516	29417	0	84310	113780	179591	158828	165015	302123	35369	18026	581	39592	88564	99	147608	161964	90	35107
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	454	1	375	1	215	1	1076	0	0	1116	3205	0	3395	1	2563	2208	8197	1280	149	1476	0	4578	365	6343	919	36	438	744	8325	32	0	59	0	288	1	0	0	0	0	1	0	0	0	0	0	1	2	1633	694	8154	0	1585	356	0	10183	2	598	16113	4748	3483	4307	0	0	385	0	0	507	7015	0	380
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Other	22	11	23	11	13	10	159	16	14	90	412	0	47	22	185	111	294	85	54	46	12	48	136	73	106	265	48	47	89	35	0	15	3	11	26	0	0	15	33	106	0	3	24	0	0	0	21	0	10	201	6	182	65	0	68	35	173	235	644	309	333	0	0	27	28	0	58	124	0	37
k__Bacteria;p__Actinobacteriota;c__Other;o__Other;f__Other	0	0	2	0	0	0	64	0	6	11	62	0	5	0	27	4	29	2	3	3	0	5	25	2	0	19	6	0	4	1	0	2	0	2	1	0	0	3	1	0	0	1	0	0	0	0	6	1	1	5	0	16	7	6	5	14	20	12	84	23	36	0	0	1	0	0	1	26	0	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	192151	1282	371810	358412	217779	262462	201723	199528	286203	301627	18887	3390	99866	664	26303	11604	1319	151544	116674	291565	132746	395199	17755	115789	68734	76610	44746	3772	112146	14281	4441	273256	162339	308840	227	184	102	83	667	1069	366	86	493	3308	19	3538	7421	352	202105	61232	128684	23174	152743	5206	143095	36181	19829	29470	14842	58243	173727	8984	1150	254438	405057	3571	50935	111692	343873	21927
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0	0	14	9	17	0	0	0	1	8	4	0	0	0	0	0	0	0	7	84	4	0	0	0	6	5	0	0	13	0	0	17617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	17	0	8	48	2	0	0	42	0	0	0	0	0	0	14	0	0	0	19	29
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae	7	0	9	13	0	0	0	0	12	4	0	0	0	0	0	0	0	0	10	11	5	0	0	9	0	0	0	0	6	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	46	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	186	0	604	274	1237	215	0	267	209	253	65	0	26	0	0	0	0	121	139	41	172	174	0	31	0	0	0	0	44	0	0	12662	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	65	344	17	312	82	332	177	37	13	0	0	127	53	0	77	95	0	33	77	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	15	0	1822	2034	238	18	869	2225	141	2307	411	0	874	0	405	0	3	478	2489	4274	102	2176	8	372	35	217	165	7	2262	17	0	0	179	3841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	805	163	26	3599	43	4	0	21	941	59	23	235	5	0	4520	3987	2	140	334	44	243
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Other	1926	0	3435	4487	1924	2207	2064	3559	2335	5840	593	137	1846	0	596	52	4	1145	1444	4765	1942	4934	164	1565	762	1341	365	15	1979	76	3	32019	2382	5321	0	0	0	0	0	4	0	0	3	69	0	81	84	14	1839	535	1243	185	3051	647	1368	172	193	310	263	1604	2700	71	0	5202	5350	16	412	449	2191	1299
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	55	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	29	0	0	1	0	0	0	26	7	10	0	0	0	0	0	0	0	0	6	572	2	1	0	0	0	0	0	0	409	0	0	120363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	19	9	0	0	0	0	23	0	0	0	0	59	19	0	0	0	0	15
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	89	0	431	71	53	63	56	11	80	4286	137	0	0	0	38	0	58	0	51	804	18	24	0	11	18	1522	20	0	285	0	0	11584	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	7	22	494	628	50	249	0	0	1394	451	55	6562	0	0	1333	44	0	24	0	150	8028
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932	0	0	440	104	0	5	0	15	0	137	23	0	45	0	13	0	0	211	0	23	0	185	0	7	0	0	2	0	79	0	0	0	0	2648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1779	0	0	0	2	0	2	0	4	0	0	347	142	0	0	0	11	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Other;f__Other	24	0	63	82	31	40	28	37	52	52	7	1	18	0	3	4	0	46	17	56	19	93	2	26	13	8	6	0	22	5	1	68	43	47	0	0	0	0	0	0	0	0	0	0	0	0	2	0	32	6	18	2	28	12	13	4	4	8	3	11	29	1	0	22	66	0	9	19	35	5
