	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
p__Actinobacteriota	48689	9512	17833	27895	28882	38649	230551	78396	46281	23648	151620	6673	42455	22550	118021	209730	82106	84901	103760	48669	34881	36084	196312	126126	80069	60242	51838	65433	67054	118781	367	679	6784	38739	23044	1679	583	36654	153983	125224	1359	4528	141780	375	142	3335	82506	19972	48560	231637	26536	147328	31001	156450	94622	113854	180729	175526	214292	307162	57896	18341	597	59144	88639	3100	148256	169608	96	36417
p__Bacteroidota	194427	1282	378628	365487	221279	265010	204740	205668	289040	314524	20127	3528	102675	664	27358	11660	1384	153545	120837	302195	135010	402786	17929	117810	69568	79703	45304	3794	117245	14379	4445	467608	165764	320714	227	184	102	83	667	1073	366	86	496	3377	19	3619	7507	366	205631	62657	130538	23898	162167	6097	145064	36534	20086	32178	15643	59936	183384	9114	1150	265998	414776	4163	51553	112629	346323	31558
p__Campylobacterota	206	30880	2654	2384	5438	418	2309	3172	1235	2	1	1	3	4	0	7	5	99	0	15379	994	146	121	7489	126	2	3	2	0	17	6278	0	10	2118	0	0	1	0	0	1	0	0	4	0	0	2	6	0	0	257	0	6940	5493	0	2	2	0	837	788	0	260	0	1072	283	1	16520	4831	1	2459	14
p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33543
p__Firmicutes	14456	30066	36031	18260	3589	10209	4311	20883	13380	10981	20419	204791	33178	23108	266626	38886	67590	16045	13321	20007	15685	4231	72788	38926	24136	7302	35698	59513	40234	21448	9345	7250	81205	120116	599465	624199	6481	591593	145664	8109	327227	593394	3753	11902	49343	74904	3918	6480	42805	27467	4346	11947	63113	241123	17875	48451	46349	54302	46061	126865	44903	28110	50594	33259	2263	95570	19017	3024	14971	180741
p__Firmicutes_A	248254	502376	144371	105072	263885	162491	91948	229931	166007	213820	355113	397246	380226	580726	196726	347142	369601	356327	274051	168710	390130	153427	316888	227122	412422	395135	478648	496146	360496	471907	56677	138291	33648	56675	7058	8889	566142	6856	321136	496980	233380	15491	485591	581234	60377	541334	535859	589023	295186	259511	399251	401324	307077	186601	345870	431383	382622	320635	328951	133639	283477	577094	562295	171349	100530	348799	366438	125261	247944	109356
p__Firmicutes_B	289	0	3192	195	129	145	7094	152	298	491	3107	0	1280	0	1362	201	19678	15	146	125	221	1435	30	200	51	57	55	12	24446	68	0	0	0	2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	29593	288	24965	14454	0	481	0	59	24645	13681	72	164	0	0	6123	113	0	26	1510	1117	54
p__Firmicutes_C	54653	44	11588	50987	15630	13705	9399	76710	38893	16855	32297	169	65647	192	6245	5855	156	10109	49795	56051	31859	20139	10268	100402	10861	73397	1270	3644	6645	1270	297	83	98	32694	2282	0	38	12	181	201	234	18746	178	26	0	44	51	40	22027	2460	20763	2334	11488	16	5908	1230	655	2249	653	5137	44224	158	233	42720	23141	163	15727	4642	693	11922
