	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	3	32	3	48	0	3	4	50	1	20	87039	6673	5723	7	52337	172	75	4	7	1461	4	1632	7	4	7	27	1	9	4329	2	42	25	227	1565	11252	1367	391	30516	115	124	421	6	67	3	65	25	9	17261	6957	159	4	11	1156	156440	54	17	173	210	43178	616	17822	289	15	19129	24	2442	21	276	6	885
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0	36	0	33	0	0	0	1	1	1	72	0	0	0	0	150	0	0	1	0	0	1	1	0	16	133	0	0	2	31	23	229	7	1	8	17	90	0	38	74	661	1145	126	5	74	455	1	6	2	0	0	6	0	1	2	3	109	101	101	242	1	26	1	0	0	536	8	1	0	1
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Other	0	1	0	3	1	0	2	0	0	0	4	0	1	0	7	2	0	1	0	0	0	0	1	0	2	1	0	0	0	0	20	0	9	0	7	37	5	4	3	2	1	9	0	3	1	1	0	1	2	0	0	0	0	3	0	0	2	1	2	4	0	0	0	0	0	6	3	60	0	1
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	1	5	0	2	0	1	0	0	0	18	0	2	0	6	256	0	0	6	14	41	0	0	0	0	0	0	37	0	2	0	0	0	0	0	3	29	0	0	16	0	0	0	0	0	16	1	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	48686	9443	17828	27811	28881	38646	230481	78345	46273	23616	64443	0	36726	22543	65650	209379	82002	84894	103749	47204	34877	34445	196273	126120	80042	60062	51830	65423	62719	118747	264	423	6536	37171	11769	0	97	6131	153820	125010	235	3367	141587	364	2	2854	82490	2666	41598	231471	26532	147292	29838	0	94561	113817	180396	175201	170927	306260	40037	18026	581	40014	88615	99	148222	169244	90	35527
k__Bacteria;p__Actinobacteriota;c__Other;o__Other	0	0	2	0	0	0	64	0	6	11	62	0	5	0	27	4	29	2	3	3	0	5	25	2	0	19	6	0	4	1	0	2	0	2	1	0	0	3	1	0	0	1	0	0	0	0	6	1	1	5	0	16	7	6	5	14	20	12	84	23	36	0	0	1	0	0	1	26	0	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	194403	1282	378565	365405	221248	264970	204712	205631	288988	314472	20120	3527	102657	664	27355	11656	1384	153499	120820	302139	134991	402693	17927	117784	69555	79695	45298	3794	117223	14374	4444	467540	165721	320666	227	184	102	83	667	1073	366	86	496	3377	19	3619	7505	366	205599	62651	130520	23896	162139	6085	145051	36530	20082	32170	15640	59925	183355	9113	1150	265976	414710	4163	51544	112607	346288	31541
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Other	24	0	63	82	31	40	28	37	52	52	7	1	18	0	3	4	0	46	17	56	19	93	2	26	13	8	6	0	22	5	1	68	43	47	0	0	0	0	0	0	0	0	0	0	0	0	2	0	32	6	18	2	28	12	13	4	4	8	3	11	29	1	0	22	66	0	9	19	35	5
k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales	206	30880	2654	2384	5438	418	2309	3172	1235	2	1	1	3	4	0	7	5	99	0	15379	994	146	121	7489	126	2	3	2	0	17	6278	0	10	2118	0	0	1	0	0	1	0	0	4	0	0	2	6	0	0	257	0	6940	5493	0	2	2	0	837	788	0	260	0	1072	283	1	16520	4831	1	2459	14
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33543
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	0	1704	874	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	119	0	0	46	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	938	0	0	39	0	29	0	0	0	0	0	0	0	0	2177	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0	5	0	0	0	0	0	0	0	0	0	0	2	0	2	172	2	0	0	0	3	2	22	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	1	0	0	0	4	1	0	0	310	0	0	0	0	0	27	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A	0	0	0	0	0	0	0	0	55	0	0	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	14	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	55	18	0	0	33	0	48	0	0	0	0	0	0	0	0	51	49	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D	0	0	40	0	32	57	0	0	9	25	0	0	0	0	0	122	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	30	0	0	0	0	0	0	0	0	995	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H	0	0	32	0	0	92	0	0	0	0	0	0	0	0	0	33	0	0	44	0	0	0	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	13853	27095	8394	18057	2083	6356	4303	12914	10771	10893	14567	28	32358	20704	41479	37506	47116	15929	13203	19670	15327	4103	71135	37893	23544	6862	27117	59162	32040	21323	42	2085	7526	28717	1964	1	1639	2681	61310	7965	57	425	1990	4129	0	50904	3177	3409	41547	12030	3769	7092	18869	5245	15593	45615	45799	43253	39577	24912	30001	3410	47648	28914	2260	255	14780	2699	12317	5907
k__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	586	955	0	0	1392	1	0	495	872	8	3255	75	515	2207	693	5	49	78	21	124	324	51	0	628	447	0	1	81	9	32	0	0	20	0	9404	0	3930	0	2318	0	8	0	253	3424	492	0	0	98	0	0	239	146	0	0	0	40	0	8765	906	0	340	0	2886	11	0	11508	177	0	0	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	6	110	26652	170	59	2463	7	7456	1667	52	2547	204535	241	172	224333	984	20374	6	0	200	1	69	1500	218	92	386	8482	209	8020	70	9295	5161	73631	91346	587649	623790	763	588159	81929	143	326745	592601	641	3467	48689	23878	697	2937	990	15421	128	4582	43228	235747	1665	2677	390	1967	5514	100307	14549	24684	37	4309	0	83121	119	12	2580	174646
k__Bacteria;p__Firmicutes;c__Bacilli;o__Other	11	111	38	16	22	9	1	17	6	3	49	152	30	23	118	31	49	31	9	13	30	5	51	44	44	2	32	46	43	22	7	4	26	53	423	408	121	735	106	1	192	323	37	72	46	34	43	21	13	15	9	70	49	131	31	39	31	54	33	149	13	14	21	17	3	598	15	13	8	139
k__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	1	1	38	0	0	0	1	0	3	0	0	0	0
