SampleID	Group
SEQ.1	Group 1
SEQ.2	Group 1
SEQ.3	Group 1
SEQ.4	Group 1
SEQ.5	Group 1
SEQ.6	Group 1
SEQ.7	Group 1
SEQ.8	Group 1
SEQ.9	Group 1
SEQ.10	Group 1
SEQ.11	Group 1
SEQ.12	Group 1
SEQ.13	Group 1
SEQ.14	Group 1
SEQ.15	Group 1
SEQ.16	Group 1
SEQ.17	Group 1
SEQ.18	Group 1
SEQ.19	Group 1
SEQ.20	Group 1
SEQ.21	Group 1
SEQ.22	Group 1
SEQ.23	Group 1
SEQ.24	Group 1
SEQ.25	Group 1
SEQ.26	Group 1
SEQ.27	Group 1
SEQ.28	Group 1
SEQ.29	Group 1
SEQ.30	Group 1
SEQ.31	Group 2 
SEQ.32	Group 2 
SEQ.33	Group 2
SEQ.34	Group 2
SEQ.35	Group 2
SEQ.36	Group 2
SEQ.37	Group 2
SEQ.38	Group 2
SEQ.39	Group 2
SEQ.40	Group 2
SEQ.41	Group 2
SEQ.42	Group 2
SEQ.43	Group 2
SEQ.44	Group 2
SEQ.45	Group 2
SEQ.46	Group 2
SEQ.47	Group 2
SEQ.48	Group 2
SEQ.49	Group 2
SEQ.50	Group 2
SEQ.51	Group 2
SEQ.52	Group 2
SEQ.53	Group 2
SEQ.54	Group 2
SEQ.55	Group 2
SEQ.56	Group 2
SEQ.57	Group 2
SEQ.58	Group 2
SEQ.59	Group 2
SEQ.60	Group 2
SEQ.61	Group 2
SEQ.62	Group 2
SEQ.63	Group 2
SEQ.64	Group 2
SEQ.65	Group 2
SEQ.66	Group 2
SEQ.67	Group 2
SEQ.68	Group 2
SEQ.69	Group 2
SEQ.70	Group 2
